ScripID,ScripCode,ScripName,OurSectorClassification
533292,A2zmes      ,A2zmes      ,Engineering
526071,SELLAIDS PUB,SELLAIDS PUBLICATI INR10 (DEMAT) (BSE code:526071)   ,Others
532391,OPTO CIRCUIT,Opto Circuits India Ltd. (BSE code:532391)   ,Engineering
530017,STD.INDUST. ,Standard Industries Limited (BSE code:530017)   ,Chemicals
511658,NETTLINX LTD,Nettlinx Ltd (BSE code:511658)   ,Financial Services
500472,SKF INDIA   ,Skf India    (Bse Code: 500472 ),Engineering
531568,ASHUTOSH PAP,Ashutosh Pap,Paper
530859,COSBOARD IND,Cosboard Ind,Paper
512349,LINKHOUSE IN,Linkhouse Industries Ltd. (BSE code:512349)   ,Construction and Building Materials
533128,T25BHIPD (BSE code:533128)   ,T25BHIPD (BSE code:533128)   ,Financial Services
531968,INDO GREEN  ,INDO GREEN P (BSE code:531968)   ,Food Processing
532162,JK PAPER    ,JK Paper Ltd. (BSE code:532162)   ,Paper
524013,HIND.FLUROCA,HIND.FLUROCA (BSE code:524013)   ,Petro Chemicals
532360,VINTAGE CARD,VINTAGE CARD (BSE code:532360)   ,Others
513648,MARG PRO IN ,MARG PRO IN (BSE code:513648)   ,Financial Services
946560,Usdpl8feb10 ,Usdpl8feb10 ,Un classified
934773,Bajautfincd  (Bse Code: 934773 ),Bajautfincd  (Bse Code: 934773 ),Un classified
531651,NATIONAL GEN,National Gen (Bse Code: 531651 ),Steel
500253,LIC HOUS.FIN,Lic Hous.Fin (Bse Code: 500253 ),Housing Finance
570002,PANTALBNDVR ,PANTALBNDVR (BSE code:570002)   ,Retail
590018,HISARMET(PS ,HISAR METAL INDUST INR10 (BSE code:590018)   ,Steel
590078,MAITHAN ALL ,MAITHAN ALL (BSE code:590078)   ,Steel
590095,GOLDBEES    ,BENCHMARK ASSET MG GOLD EXCH TRAD-GOLD BEES (BSE code:590095)   ,Financial Services
506405,DHARAMSI CHM,Dharamsi Chm (Bse Code: 506405 ),Chemicals
500260,MADRAS CEM. ,Madras Cem.  (Bse Code: 500260 ),Cement
500255,LML LTD.    ,Lml Ltd.     (Bse Code: 500255 ),Automobiles
501455,GREAVES COTT,Greaves Cott (Bse Code: 501455 ),Engineering
