Stock Symbol,Stock Market,Stock Name,INDEX
360ONE,NSE,360 ONE WAM Ltd.,['NIFTY500']
3MINDIA,NSE,3M India Ltd.,['NIFTY500']
A,NYSE/NASDAQ,Agilent Technologies,['S&P 500']
AADHARHFC,NSE,Aadhar Housing Finance Ltd.,['NIFTY500']
AAPL,NYSE/NASDAQ,Apple Inc.,"['DOW JONES', 'S&P 500']"
AARTIIND,NSE,Aarti Industries Ltd.,"['NIFTY500', 'NIFTY_CHEMICALS']"
AAVAS,NSE,Aavas Financiers Ltd.,['NIFTY500']
ABB,NSE,ABB India Ltd.,['NIFTY500']
ABBOTINDIA,NSE,Abbott India Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
ABBV,NYSE/NASDAQ,AbbVie,['S&P 500']
ABCAPITAL,NSE,Aditya Birla Capital Ltd.,['NIFTY500']
ABDL,NSE,Allied Blenders and Distillers Ltd.,['NIFTY500']
ABFRL,NSE,Aditya Birla Fashion and Retail Ltd.,['NIFTY500']
ABLBL,NSE,Aditya Birla Lifestyle Brands Ltd.,['NIFTY500']
ABNB,NYSE/NASDAQ,Airbnb,['S&P 500']
ABREL,NSE,Aditya Birla Real Estate Ltd.,['NIFTY500']
ABSLAMC,NSE,Aditya Birla Sun Life AMC Ltd.,['NIFTY500']
ABT,NYSE/NASDAQ,Abbott Laboratories,['S&P 500']
ACC,NSE,ACC Ltd.,['NIFTY500']
ACE,NSE,Action Construction Equipment Ltd.,['NIFTY500']
ACGL,NYSE/NASDAQ,Arch Capital Group,['S&P 500']
ACMESOLAR,NSE,ACME Solar Holdings Ltd.,['NIFTY500']
ACN,NYSE/NASDAQ,Accenture,['S&P 500']
ACUTAAS,NSE,Acutaas Chemicals Ltd.,['NIFTY500']
ADANIENSOL,NSE,Adani Energy Solutions Ltd.,['NIFTY500']
ADANIENT,NSE,Adani Enterprises Ltd.,"['NIFTY50', 'NIFTY500']"
ADANIGREEN,NSE,Adani Green Energy Ltd.,['NIFTY500']
ADANIPORTS,NSE,Adani Ports and Special Economic Zone Ltd.,"['NIFTY50', 'NIFTY500']"
ADANIPOWER,NSE,Adani Power Ltd.,['NIFTY500']
ADBE,NYSE/NASDAQ,Adobe Inc.,['S&P 500']
ADI,NYSE/NASDAQ,Analog Devices,['S&P 500']
ADM,NYSE/NASDAQ,Archer Daniels Midland,['S&P 500']
ADP,NYSE/NASDAQ,Automatic Data Processing,['S&P 500']
ADSK,NYSE/NASDAQ,Autodesk,['S&P 500']
AEE,NYSE/NASDAQ,Ameren,['S&P 500']
AEGISLOG,NSE,Aegis Logistics Ltd.,['NIFTY500']
AEGISVOPAK,NSE,Aegis Vopak Terminals Ltd.,['NIFTY500']
AEP,NYSE/NASDAQ,American Electric Power,['S&P 500']
AES,NYSE/NASDAQ,AES Corporation,['S&P 500']
AFCONS,NSE,Afcons Infrastructure Ltd.,['NIFTY500']
AFFLE,NSE,Affle 3i Ltd.,['NIFTY500']
AFL,NYSE/NASDAQ,Aflac,['S&P 500']
AIAENG,NSE,AIA Engineering Ltd.,['NIFTY500']
AIG,NYSE/NASDAQ,American International Group,['S&P 500']
AIIL,NSE,Authum Investment & Infrastructure Ltd.,['NIFTY500']
AIZ,NYSE/NASDAQ,Assurant,['S&P 500']
AJANTPHARM,NSE,Ajanta Pharmaceuticals Ltd.,['NIFTY500']
AJG,NYSE/NASDAQ,Arthur J. Gallagher & Co.,['S&P 500']
AKAM,NYSE/NASDAQ,Akamai Technologies,['S&P 500']
AKZOINDIA,NSE,Akzo Nobel India Ltd.,['NIFTY500']
ALB,NYSE/NASDAQ,Albemarle Corporation,['S&P 500']
ALGN,NYSE/NASDAQ,Align Technology,['S&P 500']
ALKEM,NSE,Alkem Laboratories Ltd.,"['NIFTY500', 'NIFTY_HEALTH_CARE']"
ALL,NYSE/NASDAQ,Allstate,['S&P 500']
ALLE,NYSE/NASDAQ,Allegion,['S&P 500']
AMAT,NYSE/NASDAQ,Applied Materials,['S&P 500']
AMBER,NSE,Amber Enterprises India Ltd.,['NIFTY500']
AMBUJACEM,NSE,Ambuja Cements Ltd.,['NIFTY500']
AMCR,NYSE/NASDAQ,Amcor,['S&P 500']
AMD,NYSE/NASDAQ,Advanced Micro Devices,['S&P 500']
AME,NYSE/NASDAQ,Ametek,['S&P 500']
AMGN,NYSE/NASDAQ,Amgen,"['DOW JONES', 'S&P 500']"
AMP,NYSE/NASDAQ,Ameriprise Financial,['S&P 500']
AMT,NYSE/NASDAQ,American Tower,['S&P 500']
AMZN,NYSE/NASDAQ,Amazon,"['DOW JONES', 'S&P 500']"
ANANDRATHI,NSE,Anand Rathi Wealth Ltd.,['NIFTY500']
ANANTRAJ,NSE,Anant Raj Ltd.,['NIFTY500']
ANET,NYSE/NASDAQ,Arista Networks,['S&P 500']
ANGELONE,NSE,Angel One Ltd.,['NIFTY500']
ANTHEM,NSE,Anthem Biosciences Ltd.,['NIFTY500']
ANURAS,NSE,Anupam Rasayan India Ltd.,['NIFTY500']
AON,NYSE/NASDAQ,Aon plc,['S&P 500']
AOS,NYSE/NASDAQ,A. O. Smith,['S&P 500']
APA,NYSE/NASDAQ,APA Corporation,['S&P 500']
APARINDS,NSE,Apar Industries Ltd.,['NIFTY500']
APD,NYSE/NASDAQ,Air Products,['S&P 500']
APH,NYSE/NASDAQ,Amphenol,['S&P 500']
APLAPOLLO,NSE,APL Apollo Tubes Ltd.,['NIFTY500']
APO,NYSE/NASDAQ,Apollo Global Management,['S&P 500']
APOLLOHOSP,NSE,Apollo Hospitals Enterprise Ltd.,"['NIFTY50', 'NIFTY500', 'NIFTY_HEALTH_CARE']"
APOLLOTYRE,NSE,Apollo Tyres Ltd.,['NIFTY500']
APP,NYSE/NASDAQ,AppLovin,['S&P 500']
APTUS,NSE,Aptus Value Housing Finance India Ltd.,['NIFTY500']
APTV,NYSE/NASDAQ,Aptiv,['S&P 500']
ARE,NYSE/NASDAQ,Alexandria Real Estate Equities,['S&P 500']
ARE&M,NSE,Amara Raja Energy & Mobility Ltd.,['NIFTY500']
ARES,NYSE/NASDAQ,Ares Management,['S&P 500']
