Company name,Symbol
20 Microns Limited,NSE: 20MICRONS
21st Century Management Services Limited,NSE: 21STCENMGM
3i Infotech Limited,NSE: 3IINFOTECH
3M India Limited,NSE: 3MINDIA
3P Land Holdings Limited,NSE: 3PLAND
3rd Rock Multimedia Limited,NSE: 3RDROCK
5Paisa Capital Limited,NSE: 5PAISA
63 Moons Technologies Limited,NSE: 63MOONS
A and M Jumbo Bags Limited,NSE: AMJUMBO
A B Infrabuild Limited,NSE: ABINFRA
A B N Intercorp Limited,NSE: ABNINT
A2Z Infra Engineering Limited,NSE: A2ZINFRA
Aakash Exploration Services Limited,NSE: AAKASH
Aaron Industries Limited,NSE: AARON
Aarti Drugs Limited,NSE: AARTIDRUGS
Aarti Industries Limited,NSE: AARTIIND
Aarvee Denims & Exports Limited,NSE: AARVEEDEN
Aarvi Encon Limited,NSE: AARVI
Aavas Financiers Limited,NSE: AAVAS
Aban Offshore Limited,NSE: ABAN
ABB India Limited,NSE: ABB
ABB Power Products and Systems India Limited,NSE: POWERINDIA
ABM International Limited,NSE: ABMINTLTD
ACC Limited,NSE: ACC
Accelya Solutions India Limited,NSE: ACCELYA
Accord Synergy Limited,NSE: ACCORD
Accuracy Shipping Limited,NSE: ACCURACY
Ace Integrated Solutions Limited,NSE: ACEINTEG
Action Construction Equipment Limited,NSE: ACE
Adani Enterprises Limited,NSE: ADANIENT
Adani Gas Limited,NSE: ADANIGAS
Adani Green Energy Limited,NSE: ADANIGREEN
Adani Ports and Special Economic Zone Limited,NSE: ADANIPORTS
Adani Power Limited,NSE: ADANIPOWER
Adani Transmission Limited,NSE: ADANITRANS
ADF Foods Limited,NSE: ADFFOODS
Adhunik Industries Limited,NSE: ADHUNIKIND
Aditya Birla Capital Limited,NSE: ABCAPITAL
Aditya Birla Fashion and Retail Limited,NSE: ABFRL
Aditya Birla Money Limited,NSE: BIRLAMONEY
Adlabs Entertainment Limited,NSE: ADLABS
Ador Welding Limited,NSE: ADORWELD
Adroit Infotech Limited,NSE: ADROITINFO
Advanced Enzyme Technologies Limited,NSE: ADVENZYMES
Advani Hotels & Resorts (India) Limited,NSE: ADVANIHOTR
Aegis Logistics Limited,NSE: AEGISCHEM
Affle (India) Limited,NSE: AFFLE
Agarwal Industrial Corporation Limited,NSE: AGARIND
AGC Networks Limited,NSE: AGCNET
Agri-Tech (India) Limited,NSE: AGRITECH
Agro Phos India Limited,NSE: AGROPHOS
Agro Tech Foods Limited,NSE: ATFL
Ahimsa Industries Limited,NSE: AHIMSA
Ahlada Engineers Limited,NSE: AHLADA
Ahluwalia Contracts (India) Limited,NSE: AHLUCONT
AIA Engineering Limited,NSE: AIAENG
Airan Limited,NSE: AIRAN
Airo Lam limited,NSE: AIROLAM
Ajanta Pharma Limited,NSE: AJANTPHARM
Ajmera Realty & Infra India Limited,NSE: AJMERA
Ajooni Biotech Limited,NSE: AJOONI
Akash Infra-Projects Limited,NSE: AKASH
Akg Exim Limited,NSE: AKG
Aksh Optifibre Limited,NSE: AKSHOPTFBR
AksharChem India Limited,NSE: AKSHARCHEM
Akzo Nobel India Limited,NSE: AKZOINDIA
Alankit Limited,NSE: ALANKIT
Albert David Limited,NSE: ALBERTDAVD
Alchemist Limited,NSE: ALCHEM
Alembic Limited,NSE: ALEMBICLTD
Alembic Pharmaceuticals Limited,NSE: APLLTD
Alicon Castalloy Limited,NSE: ALICON
Alkali Metals Limited,NSE: ALKALI
Alkem Laboratories Limited,NSE: ALKEM
